year,unemployment_rate,average_salary,inflation,real_income_index,gdp_growth,key_rate
2015,5.6,34030,12.9,96.8,-2.0,12.5
2016,5.5,36709,5.4,95.5,0.2,10.5
2017,5.2,39167,2.5,98.8,1.8,9.0
2018,4.8,43724,4.3,101.1,2.5,7.5
2019,4.6,47867,3.0,101.0,2.0,7.3
2020,5.8,51344,4.9,97.3,-2.7,5.0
2021,4.8,57244,8.4,103.1,5.6,5.8
2022,3.9,65338,11.9,99.0,-1.2,10.6
2023,3.2,74854,7.4,105.4,3.6,10.0
2024,2.9,87952,8.1,106.2,4.1,17.5
